LFS_NR,AF_DATUM,ARTIKEL_NR,MANDANT,KUNDE,KUNDEN_NR,STANDORT,STANDORT_NR,HERKUNFT,HERKUNFT_NR,Monat,AF_STATUS,GT_BEZEICHNUNG,LPOS_BEZEICHNUNG,LPOS_MENGE,LPOS_ME,ZIEL_KURZ,LIEFERANT,LIEFERANTEN_NR,BEFOERDERER,LST_ART,ZU_AB,FAHRZEUGKNZ
5330671,01.08.2025 00:00:00,40K1010,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,zugeordnet,ABR 40 offen Hofcontainer leeren,Folie bunt,"0,0000",to,Heilbronn Benzstraße,,,KURZ Recycling,Verwertung,Herkunft/Ziel,HN KR 9232
5330671,01.08.2025 00:00:00,20P1020,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,zugeordnet,ABR 40 offen Hofcontainer leeren,Mischpapier / Kartonagen,"0,0000",to,Heilbronn Benzstraße,,,KURZ Recycling,Verwertung,Herkunft/Ziel,HN KR 9232
5330679,25.08.2025 00:00:00,40K1010,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,offen,ABR 40 offen Hofcontainer leeren,Folie bunt,"0,0000",to,Heilbronn Benzstraße,,,,Verwertung,Herkunft/Ziel,
5330679,25.08.2025 00:00:00,20P1020,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,offen,ABR 40 offen Hofcontainer leeren,Mischpapier / Kartonagen,"0,0000",to,Heilbronn Benzstraße,,,,Verwertung,Herkunft/Ziel,
5330680,27.08.2025 00:00:00,40K1010,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,offen,ABR 40 offen Hofcontainer leeren,Folie bunt,"0,0000",to,Heilbronn Benzstraße,,,,Verwertung,Herkunft/Ziel,
5330680,27.08.2025 00:00:00,20P1020,02,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Heilbronn Austraße,358,Aug.,offen,ABR 40 offen Hofcontainer leeren,Mischpapier / Kartonagen,"0,0000",to,Heilbronn Benzstraße,,,,Verwertung,Herkunft/Ziel,
5349695,31.07.2025 00:00:00,30H1010,02,KURZ Recycling GmbH,100002,Schwaigern,50002,Heilbronn Austraße,358,Juli,offen,Output Heilbronn - Holz AI vorgebrochen nach Schwaigern,Holz AI vorgebrochen,"0,0000",to,Schwaigern,KURZ Recycling,8207,,,,
5348571,05.08.2025 00:00:00,38H3010,01,KURZ Recycling GmbH,100002,Heilbronn Austraße,73152,Benningen,2,Aug.,zugeordnet,Output Benningen - Holz AIII aus Sperrmüll aus Sammlung nach Heilbronn,Holz AIII aus Sperrmüll,"0,0000",to,Heilbronn Austraße,,,KURZ Entsorgung,Verwertung,Herkunft/Ziel,HN M 2095
5348434,31.07.2025 00:00:00,30H1040,01,KURZ Recycling GmbH,100002,Schwaigern,50002,Benningen,2,Juli,rückgemeldet,Output Benningen - Holz AI nach Schwaigern,Holz AI Paletten aus Vollholz,"14,1600",to,Schwaigern,KURZ Recycling,8207,KURZ Entsorgung,Verwertung,Herkunft/Ziel,LB KE 9666
5356250,08.08.2025 00:00:00,11S1020,01,"AWS Abfallwirtschaft Stuttgart
Landeshauptstadt Stuttgart",100557,Umladestation Degenkolbe,182830,Umladestation Degenkolbe,182830,Aug.,zugeordnet,Zentek,DS 600 LVP (wie gesammelt) Zentek,"0,0000",to,Schwaigern,,,,Verwertung,Herkunft/Ziel,
